Time,Counts,Normalized_Counts
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,1.0,0.0078125
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,1.0,0.0078125
2400.0,1.0,0.0078125
2400.0,0.0,0.0
2400.0,1.0,0.0078125
2400.0,2.0,0.015625
2400.0,0.0,0.0
2400.0,1.0,0.0078125
2400.0,2.0,0.015625
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,2.0,0.015625
2400.0,0.0,0.0
2400.0,2.0,0.015625
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,2.0,0.015625
2400.0,2.0,0.015625
2400.0,6.0,0.046875
2400.0,3.0,0.0234375
2400.0,4.0,0.03125
2400.0,3.0,0.0234375
2400.0,2.0,0.015625
2400.0,5.0,0.0390625
2400.0,3.0,0.0234375
2400.0,2.0,0.015625
2400.0,4.0,0.03125
2400.0,3.0,0.0234375
2400.0,8.0,0.0625
2400.0,4.0,0.03125
2400.0,5.0,0.0390625
2400.0,5.0,0.0390625
2400.0,2.0,0.015625
2400.0,5.0,0.0390625
2400.0,6.0,0.046875
2400.0,7.0,0.0546875
2400.0,2.0,0.015625
2400.0,3.0,0.0234375
2400.0,5.0,0.0390625
2400.0,1.0,0.0078125
2400.0,3.0,0.0234375
2400.0,7.0,0.0546875
2400.0,0.0,0.0
2400.0,2.0,0.015625
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,1.0,0.0078125
2400.0,4.0,0.03125
2400.0,1.0,0.0078125
2400.0,1.0,0.0078125
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,1.0,0.0078125
2400.0,0.0,0.0
2400.0,2.0,0.015625
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,1.0,0.0078125
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
2400.0,0.0,0.0
