Time,Counts,Normalized_Counts
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,1.0,0.006622516556291391
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,1.0,0.006622516556291391
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,1.0,0.006622516556291391
11600.0,3.0,0.019867549668874173
11600.0,3.0,0.019867549668874173
11600.0,3.0,0.019867549668874173
11600.0,7.0,0.046357615894039736
11600.0,6.0,0.039735099337748346
11600.0,5.0,0.033112582781456956
11600.0,6.0,0.039735099337748346
11600.0,7.0,0.046357615894039736
11600.0,1.0,0.006622516556291391
11600.0,6.0,0.039735099337748346
11600.0,7.0,0.046357615894039736
11600.0,4.0,0.026490066225165563
11600.0,5.0,0.033112582781456956
11600.0,3.0,0.019867549668874173
11600.0,8.0,0.052980132450331126
11600.0,11.0,0.0728476821192053
11600.0,7.0,0.046357615894039736
11600.0,5.0,0.033112582781456956
11600.0,7.0,0.046357615894039736
11600.0,9.0,0.059602649006622516
11600.0,4.0,0.026490066225165563
11600.0,3.0,0.019867549668874173
11600.0,4.0,0.026490066225165563
11600.0,1.0,0.006622516556291391
11600.0,5.0,0.033112582781456956
11600.0,4.0,0.026490066225165563
11600.0,1.0,0.006622516556291391
11600.0,1.0,0.006622516556291391
11600.0,1.0,0.006622516556291391
11600.0,0.0,0.0
11600.0,6.0,0.039735099337748346
11600.0,2.0,0.013245033112582781
11600.0,2.0,0.013245033112582781
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,1.0,0.006622516556291391
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
11600.0,0.0,0.0
