Time,Counts,Normalized_Counts
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,2.0,0.03125
12400.0,1.0,0.015625
12400.0,2.0,0.03125
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,4.0,0.0625
12400.0,5.0,0.078125
12400.0,3.0,0.046875
12400.0,3.0,0.046875
12400.0,3.0,0.046875
12400.0,2.0,0.03125
12400.0,5.0,0.078125
12400.0,1.0,0.015625
12400.0,3.0,0.046875
12400.0,1.0,0.015625
12400.0,2.0,0.03125
12400.0,3.0,0.046875
12400.0,1.0,0.015625
12400.0,1.0,0.015625
12400.0,2.0,0.03125
12400.0,2.0,0.03125
12400.0,1.0,0.015625
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,2.0,0.03125
12400.0,1.0,0.015625
12400.0,2.0,0.03125
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,1.0,0.015625
12400.0,1.0,0.015625
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,1.0,0.015625
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
12400.0,0.0,0.0
